,step,loss
0,5,0.1262081265449524
1,15,0.29042038321495056
2,16,0.16235068440437317
3,23,0.18868719041347504
4,28,0.13472159206867218
5,37,0.24466495215892792
6,39,0.5302789807319641
7,42,0.2922409772872925
8,49,0.21155379712581635
9,56,0.14118409156799316
10,66,0.3285393714904785
11,69,0.44450849294662476
12,72,0.42711347341537476
13,78,0.37503257393836975
14,81,0.28692060708999634
15,85,0.14296133816242218
16,104,0.18322612345218658
17,107,0.09798126667737961
18,111,0.32851123809814453
19,136,0.1730535626411438
20,142,0.21347111463546753
21,145,0.26872801780700684
22,146,0.134140744805336
23,151,0.11776626110076904
24,156,0.3209666907787323
25,171,0.45531150698661804
26,175,0.1714523583650589
27,188,0.11879612505435944
28,202,0.1752898395061493
29,213,0.38958582282066345
30,219,0.27606937289237976
31,221,0.14942027628421783
32,227,0.12302853167057037
33,239,0.13082027435302734
34,252,0.31229695677757263
35,257,0.0951065942645073
36,260,0.12629951536655426
37,305,0.12485086917877197
38,324,0.21942442655563354
39,327,0.30418524146080017
40,333,0.4287877678871155
41,338,0.16848619282245636
42,340,0.13941851258277893
43,353,0.12571685016155243
44,376,0.14795319736003876
45,378,0.4913814663887024
46,405,0.18339161574840546
47,420,0.44276052713394165
48,424,0.11744192242622375
49,429,0.2776913344860077
50,436,0.11557652801275253
51,450,0.32342529296875
52,456,0.34203019738197327
53,465,0.4793098568916321
54,485,0.1503048539161682
55,496,0.16269536316394806
56,505,0.18452535569667816
57,522,0.4001162052154541
58,526,0.20110908150672913
59,530,0.14603205025196075
60,538,0.21594221889972687
61,552,0.37478750944137573
62,560,0.11305500566959381
63,564,0.32535696029663086
64,590,0.22770103812217712
65,596,0.17244693636894226
66,606,0.2929964065551758
67,608,0.11666547507047653
68,615,0.3310566544532776
69,633,0.4869190454483032
70,643,0.18329878151416779
71,650,0.1517910212278366
72,652,0.21471790969371796
73,653,0.1064121276140213
74,664,0.1571156531572342
75,666,0.41894423961639404
76,668,0.10843867063522339
77,691,0.1436200588941574
78,707,0.277683824300766
79,709,0.18350675702095032
80,735,0.3898504674434662
81,740,0.1089712604880333
82,752,0.15799149870872498
83,757,0.13947820663452148
84,759,0.22296199202537537
85,765,0.34325164556503296
86,768,0.2476378083229065
87,773,0.12377401441335678
88,781,0.18035073578357697
89,785,0.14651145040988922
90,793,0.22680646181106567
91,817,0.14669984579086304
92,826,0.1287977248430252
93,829,0.17350000143051147
94,839,0.1335826814174652
95,843,0.2896360754966736
96,847,0.18021643161773682
97,849,0.29128849506378174
98,851,0.14620038866996765
99,854,0.14480799436569214
100,867,0.3422999978065491
101,875,0.21895816922187805
102,877,0.14314760267734528
103,884,0.17199286818504333
104,900,0.21798807382583618
105,909,0.38454753160476685
106,914,0.14734159409999847
107,921,0.35325902700424194
108,926,0.1340634971857071
109,957,0.5015039443969727
110,983,0.13067726790905
111,999,0.26532289385795593
112,1011,0.38581132888793945
113,1026,0.3703172504901886
114,1034,0.14456358551979065
115,1040,0.13450376689434052
116,1057,0.08748040348291397
