,ID,제품,대분류,중분류,소분류,브랜드,쇼핑몰,키워드평균,키워드순위,판매량평균,판매량순위,가격평균,ZScore_대분류,ZScore_중분류,NormalizedPrice_대분류,NormalizedPrice_중분류,언급량,제품수,제품수순위,쇼핑몰순위, 쇼핑몰개수
0,SAMPLE_00000,B002-00001-00001,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-00001,S001-00001,0.7026424425887264,1699,1.432150313152401,2501,5856.896551724139,-0.270538393280786,-0.5980035323498495,0.010868761920228705,0.03822364643209241,336.56573,1,2501,0,11226
1,SAMPLE_00001,B002-00002-00001,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,11.530035574112734,307,6.139874739039666,1437,23753.929961089496,-0.01406584254014445,-0.03478180296767052,0.06713541825735175,0.06713541825735175,5522.887040000001,4,1437,0,11226
2,SAMPLE_00002,B002-00002-00002,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,11.530035574112734,307,6.139874739039666,1437,12058.598993288591,-0.262767460418366,-0.2742414576796325,0.03371592458580089,0.03371592458580089,5522.887040000001,4,1437,0,11226
3,SAMPLE_00003,B002-00002-00003,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,11.530035574112734,307,6.139874739039666,1437,4010.919540229885,-0.4339016425677542,-0.43901614839745695,0.010719621762680664,0.010719621762680664,5522.887040000001,4,1437,0,11226
4,SAMPLE_00004,B002-00002-00004,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00010,11.530035574112734,307,6.139874739039666,1437,4261.803956695849,-0.4285665767669399,-0.4338793381690888,0.01143652581537132,0.01143652581537132,5522.887040000001,4,1437,4,1844
5,SAMPLE_00005,B002-00003-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0.7990320041753652,1597,29.072472412764693,414,5056.881565907876,-0.6504354552472038,-0.6401747245542068,0.0063533731389474185,0.0063533731389474185,382.73633,14,414,0,11226
6,SAMPLE_00006,B002-00003-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0.7990320041753652,1597,29.072472412764693,414,8311.268085106383,-0.5696197751560429,-0.5612502832269793,0.010737325102641691,0.010737325102641691,382.73633,14,414,0,11226
7,SAMPLE_00007,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0.7990320041753652,1597,29.072472412764693,414,7339.268136695864,-0.5937573004364498,-0.5848229450622697,0.009427953564440235,0.009427953564440235,382.73633,14,414,0,11226
8,SAMPLE_00008,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00002,0.7990320041753652,1597,29.072472412764693,414,9477.511196707632,-0.5406586392677039,-0.5329668923353761,0.012308359689064564,0.012308359689064564,382.73633,14,414,3,3104
9,SAMPLE_00009,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00003,0.7990320041753652,1597,29.072472412764693,414,10352.51942065153,-0.5189296945691496,-0.5117464457706853,0.013487074632411923,0.013487074632411923,382.73633,14,414,2,3250
